Event.ID,UTC.Offset,Start.DateTime.UTC,End.DateTime.UTC,Start.DateTime.Local,End.DateTime.Local,Start.Date.Local,Start.Time.Local,Event.Duration,eventType,comment,SRKW,Transient,Uncertain 
51,7:00,2020-07-03 10:12,2020-07-03 10:20,2020-07-03 3:12,2020-07-03 3:20,2020-07-03,3:12:39,0:07:48, Killer Whale,Transient,0,1,0
96,7:00,2020-07-05 0:55,2020-07-05 4:52,2020-07-04 17:55,2020-07-04 21:52,2020-07-04,17:55:48,3:56:46, Killer Whale,SRKW,1,0,0
100,7:00,2020-07-05 6:53,2020-07-05 7:01,2020-07-04 23:53,2020-07-05 0:01,2020-07-04,23:53:35,0:07:27, Killer Whale,Transient,0,1,0
115,7:00,2020-07-05 22:52,2020-07-05 23:59,2020-07-05 15:52,2020-07-05 16:59,2020-07-05,15:52:50,1:07:09, Killer Whale,SRKW,1,0,0
117,7:00,2020-07-06 0:02,2020-07-06 3:50,2020-07-05 17:02,2020-07-05 20:50,2020-07-05,17:02:40,3:47:42, Killer Whale,,1,0,0
128,7:00,2020-07-06 11:39,2020-07-06 12:47,2020-07-06 4:39,2020-07-06 5:47,2020-07-06,4:39:22,1:07:44, Killer Whale,SRKW,1,0,0
166,7:00,2020-07-07 16:20,2020-07-07 16:49,2020-07-07 9:20,2020-07-07 9:49,2020-07-07,9:20:50,0:28:52, Killer Whale,SRKW,1,0,0
167,7:00,2020-07-07 19:48,2020-07-07 23:59,2020-07-07 12:48,2020-07-07 16:59,2020-07-07,12:48:25,4:11:10, Killer Whale,SRKW,1,0,0
171,7:00,2020-07-08 0:01,2020-07-08 3:22,2020-07-07 17:01,2020-07-07 20:22,2020-07-07,17:01:46,3:21:09, Killer Whale,,1,0,0
172,7:00,2020-07-08 9:37,2020-07-08 10:13,2020-07-08 2:37,2020-07-08 3:13,2020-07-08,2:37:29,0:35:55, Killer Whale,SRKW,1,0,0
199,7:00,2020-07-09 0:00,2020-07-09 1:00,2020-07-08 17:00,2020-07-08 18:00,2020-07-08,17:00:47,0:59:50, Killer Whale,SRKW,1,0,0
208,7:00,2020-07-09 3:18,2020-07-09 5:22,2020-07-08 20:18,2020-07-08 22:22,2020-07-08,20:18:43,2:03:46, Killer Whale,SRKW,1,0,0
228,7:00,2020-07-09 7:34,2020-07-09 7:44,2020-07-09 0:34,2020-07-09 0:44,2020-07-09,0:34:33,0:09:45, Killer Whale,Transient,0,1,0
221,7:00,2020-07-09 13:23,2020-07-09 14:41,2020-07-09 6:23,2020-07-09 7:41,2020-07-09,6:23:59,1:17:51, Killer Whale,SRKW,1,0,0
222,7:00,2020-07-09 19:42,2020-07-09 20:07,2020-07-09 12:42,2020-07-09 13:07,2020-07-09,12:42:36,0:24:32, Killer Whale,SRKW,1,0,0
227,7:00,2020-07-09 23:58,2020-07-09 23:58,2020-07-09 16:58,2020-07-09 16:58,2020-07-09,16:58:14,0:00:07, Killer Whale,Unknown,0,0,1
239,7:00,2020-07-10 3:19,2020-07-10 6:10,2020-07-09 20:19,2020-07-09 23:10,2020-07-09,20:19:07,2:51:04, Killer Whale,SRKW,1,0,0
240,7:00,2020-07-10 7:40,2020-07-10 8:11,2020-07-10 0:40,2020-07-10 1:11,2020-07-10,0:40:35,0:30:59, Killer Whale,SRKW,1,0,0
253,7:00,2020-07-11 0:50,2020-07-11 4:54,2020-07-10 17:50,2020-07-10 21:54,2020-07-10,17:50:44,4:04:11, Killer Whale,SRKW,1,0,0
269,7:00,2020-07-11 7:09,2020-07-11 7:19,2020-07-11 0:09,2020-07-11 0:19,2020-07-11,0:09:02,0:10:40, Killer Whale,SRKW,1,0,0
270,7:00,2020-07-11 10:35,2020-07-11 10:41,2020-07-11 3:35,2020-07-11 3:41,2020-07-11,3:35:14,0:06:18, Killer Whale,SRKW,1,0,0
278,7:00,2020-07-11 11:58,2020-07-11 12:39,2020-07-11 4:58,2020-07-11 5:39,2020-07-11,4:58:31,0:40:45, Killer Whale,SRKW,1,0,0
279,7:00,2020-07-11 13:44,2020-07-11 14:42,2020-07-11 6:44,2020-07-11 7:42,2020-07-11,6:44:15,0:57:58, Killer Whale,SRKW,1,0,0
281,7:00,2020-07-11 18:35,2020-07-11 18:44,2020-07-11 11:35,2020-07-11 11:44,2020-07-11,11:35:58,0:08:20, Killer Whale,Unknown,0,0,1
283,7:00,2020-07-11 21:06,2020-07-11 21:10,2020-07-11 14:06,2020-07-11 14:10,2020-07-11,14:06:37,0:03:25, Killer Whale,Unknown,0,0,1
